,AAVE,ADA,ADX,AION,ALGO,AMP,ANC,ANT,ARDR,ATM,ATOM,AVAX,BAND,BAT,BCC,BCH,BLZ,BNB,BNT,BTC,BTG,BTS,BTT,BUSD,CAKE,COMP,CTXC,CVC,DAR,DASH,DATA,DCR,DENT,DGB,DNT,DOGE,DOT,EGLD,ELF,ENJ,EOS,ETC,ETH,FIL,FTT,FUN,GNO,GRT,GTC,GTO,GXS,HBAR,ICX,IOST,IOTA,IOTX,KLAY,KMD,KNC,KSM,LEND,LINK,LRC,LSK,LTC,LUNA,MANA,MATIC,MCO,MITH,MKR,MLN,NANO,NBT,NEO,NMR,NPXS,NULS,OMG,ONT,ORN,POLY,POWR,QTUM,QUICK,REP,REQ,RLC,RUNE,SC,SHIB,SOL,SNX,STEEM,STORJ,STORM,STRAT,STX,SYS,THETA,TRIBE,TRX,TUSD,UNI,UST,UTK,VET,WAN,WAVES,WTC,XEM,XLM,XMR,XRP,XTZ,XVG,XZC,ZEC,ZEN,ZIL,ZRX
2022-10-01 18:00:00,74.10000,0.42890,0.17050,0.03852,0.35450,0.00495,0.09039,1.65800,0.09540,4.62000,12.57800,16.97000,1.24600,0.29870,448.70000,116.70000,0.08700,278.30000,0.42600,19252.75000,20.35000,0.01043,0.00278,0.99990,4.51500,61.16000,0.10900,0.12740,0.20379,41.70000,0.03154,26.30000,0.00095,0.00943,0.04210,0.06031,6.23000,47.21000,0.13040,0.44830,1.19500,27.30000,1311.05000,5.55000,24.00000,0.00729,119.00000,0.09680,1.81400,0.01977,1.79230,0.05710,0.23640,0.01162,0.29290,0.02859,0.19300,0.25340,1.15700,41.75000,0.51431,7.34000,0.29170,0.95000,52.52000,2.40110,0.69090,0.76160,2.74400,0.02076,751.00000,19.14000,2.22400,0.00679,8.72000,14.60000,0.00703,0.19240,1.71400,0.22200,1.10000,0.23760,0.19250,2.82100,56.40000,7.00000,0.10220,1.19600,1.53700,0.00344,0.00001,32.49000,2.31000,0.22140,0.44670,0.00340,0.49040,0.32000,0.16750,1.05500,0.21810,0.06018,0.99990,6.46000,0.24578,0.10350,0.02301,0.18840,3.78100,0.32630,0.04030,0.11970,146.70000,0.47360,1.40100,0.00326,4.44600,55.70000,13.82000,0.03109,0.26610
2022-10-01 17:00:00,74.40000,0.43000,0.17080,0.03852,0.35550,0.00496,0.09062,1.66300,0.09550,4.63000,12.64700,17.10000,1.24800,0.30030,448.70000,117.20000,0.08720,279.20000,0.42600,19277.70000,20.35000,0.01043,0.00274,0.99990,4.52700,61.48000,0.10870,0.12750,0.20457,41.89000,0.03155,25.90000,0.00095,0.00946,0.04210,0.06043,6.25000,47.38000,0.13050,0.45000,1.20300,27.39000,1313.29000,5.56000,24.07000,0.00730,119.00000,0.09730,1.82500,0.01977,1.86670,0.05710,0.23730,0.01166,0.29340,0.02865,0.19330,0.25370,1.16600,41.99000,0.50203,7.37200,0.29390,0.95100,52.79000,2.40570,0.69350,0.76450,2.76200,0.02076,751.00000,19.18000,2.15000,0.00679,8.76000,14.60000,0.00709,0.19260,1.72100,0.22310,1.10000,0.23770,0.19230,2.83300,56.40000,7.02000,0.10230,1.19900,1.54300,0.00344,0.00001,32.68000,2.32100,0.22070,0.44800,0.00330,0.49930,0.32100,0.16790,1.05600,0.21800,0.06028,0.99990,6.51000,0.36351,0.10390,0.02309,0.18840,3.79000,0.32630,0.04050,0.11990,147.30000,0.47410,1.40500,0.00327,4.37300,56.10000,13.89000,0.03112,0.26800
2022-10-01 16:00:00,74.30000,0.42970,0.16970,0.03866,0.35830,0.00496,0.09050,1.66700,0.09530,4.62000,12.66700,17.08000,1.25300,0.30050,433.11000,117.10000,0.08620,279.90000,0.42700,19291.16000,20.37000,0.01041,0.00274,1.00000,4.52000,61.58000,0.10840,0.12750,0.20416,41.92000,0.03144,25.80000,0.00095,0.00948,0.04210,0.06060,6.26000,47.27000,0.13060,0.45060,1.20700,27.48000,1310.95000,5.57000,24.05000,0.00730,119.00000,0.09720,1.82000,0.01980,1.84990,0.05710,0.23710,0.01165,0.29370,0.02876,0.19370,0.25380,1.16800,42.05000,0.50533,7.44700,0.29430,0.94700,53.08000,2.40450,0.69340,0.76600,2.73500,0.02080,761.00000,19.19000,2.21900,0.00679,8.83000,14.60000,0.00710,0.19210,1.72300,0.22430,1.10800,0.23940,0.19250,2.84100,56.70000,7.02000,0.10240,1.19800,1.54400,0.00345,0.00001,32.76000,2.32300,0.21980,0.44760,0.00334,0.53690,0.32200,0.16740,1.05800,0.21770,0.06072,1.00000,6.55000,0.44300,0.10400,0.02302,0.18930,3.80300,0.32570,0.04060,0.12040,147.80000,0.48140,1.40800,0.00327,4.34800,56.40000,13.92000,0.03112,0.26790
2022-10-01 15:00:00,74.80000,0.43170,0.17050,0.03864,0.36160,0.00501,0.09080,1.67800,0.09590,4.66000,12.79000,17.18000,1.27100,0.30310,400.80000,117.60000,0.08650,281.50000,0.43500,19330.95000,20.46000,0.01045,0.00273,1.00010,4.56400,62.45000,0.10900,0.12800,0.20613,42.30000,0.03164,26.10000,0.00095,0.00950,0.04220,0.06142,6.30000,47.34000,0.13070,0.45320,1.19600,27.62000,1322.63000,5.63000,24.15000,0.00732,120.10000,0.09770,1.83900,0.01997,1.82260,0.05730,0.23890,0.01173,0.29580,0.02916,0.19410,0.25240,1.17100,42.41000,0.50156,7.55800,0.29600,0.94900,53.46000,2.41660,0.69720,0.77070,2.74800,0.02087,774.00000,19.31000,2.17700,0.00679,8.86000,14.67000,0.00713,0.19330,1.73700,0.22590,1.11300,0.24000,0.19360,2.85200,57.10000,7.01000,0.10330,1.20800,1.55600,0.00346,0.00001,32.99000,2.34400,0.21970,0.44950,0.00333,0.53920,0.32300,0.16970,1.07200,0.21810,0.06118,1.00000,6.59000,0.44694,0.10490,0.02317,0.19030,3.82300,0.33250,0.04090,0.12150,149.70000,0.48210,1.41700,0.00328,4.28900,56.90000,14.00000,0.03132,0.27000
2022-10-01 14:00:00,74.90000,0.43140,0.17090,0.03897,0.36000,0.00506,0.09051,1.67700,0.09560,4.65000,12.81700,17.17000,1.26000,0.30250,433.88000,117.90000,0.08670,282.30000,0.43400,19321.72000,20.43000,0.01050,0.00268,0.99990,4.59500,62.58000,0.10910,0.12810,0.20599,42.25000,0.03170,25.90000,0.00096,0.00951,0.04220,0.06146,6.29000,47.44000,0.13070,0.45240,1.19600,27.60000,1322.82000,5.62000,24.19000,0.00733,119.60000,0.09780,1.82200,0.02001,1.82100,0.05740,0.23840,0.01172,0.29450,0.02907,0.19400,0.25180,1.17200,42.35000,0.50171,7.52400,0.29580,0.95300,53.53000,2.40850,0.69680,0.76880,2.73500,0.02088,771.00000,19.31000,2.21900,0.00684,8.82000,14.68000,0.00707,0.19320,1.73200,0.22560,1.10600,0.23950,0.19360,2.85000,57.50000,7.03000,0.10310,1.20800,1.55600,0.00346,0.00001,32.90000,2.34200,0.21940,0.44870,0.00341,0.54330,0.32300,0.16960,1.07300,0.21810,0.06102,1.00000,6.53000,0.42491,0.10500,0.02310,0.19050,3.81400,0.33090,0.04090,0.12010,149.80000,0.47670,1.41600,0.00329,4.31500,56.60000,13.99000,0.03123,0.26920
2022-10-01 13:00:00,74.90000,0.43130,0.17120,0.03897,0.36160,0.00515,0.09045,1.68100,0.09600,4.66000,12.84300,17.20000,1.25900,0.30340,442.10000,118.20000,0.08730,282.90000,0.43400,19332.38000,20.45000,0.01051,0.00263,1.00000,4.61200,62.92000,0.10920,0.12830,0.20637,42.29000,0.03171,26.00000,0.00096,0.00951,0.04230,0.06139,6.30000,47.61000,0.13080,0.45340,1.19500,27.64000,1325.93000,5.63000,24.22000,0.00733,120.20000,0.09810,1.82000,0.02005,1.89500,0.05740,0.23900,0.01173,0.29280,0.02909,0.19390,0.25310,1.17500,42.42000,0.50500,7.53500,0.29620,0.95300,53.52000,2.40690,0.69840,0.77200,2.72100,0.02088,768.00000,19.25000,2.12300,0.00684,8.82000,14.69000,0.00714,0.19350,1.73400,0.22590,1.10700,0.24160,0.19320,2.85400,57.30000,7.03000,0.10410,1.20900,1.56000,0.00347,0.00001,32.96000,2.35400,0.22020,0.44890,0.00347,0.55790,0.32300,0.17020,1.07200,0.21810,0.06120,1.00000,6.55000,0.38228,0.10520,0.02310,0.19100,3.81200,0.32920,0.04090,0.11990,149.70000,0.48100,1.42100,0.00327,4.26200,56.50000,14.03000,0.03126,0.26890
2022-10-01 12:00:00,74.80000,0.43110,0.17000,0.03893,0.36010,0.00505,0.09010,1.67900,0.09560,4.66000,12.83600,17.20000,1.25400,0.30270,446.98000,117.70000,0.08720,282.70000,0.43400,19296.57000,20.44000,0.01049,0.00262,0.99990,4.61700,63.00000,0.10880,0.12830,0.20648,42.25000,0.03179,26.00000,0.00095,0.00953,0.04200,0.06157,6.30000,47.86000,0.13070,0.45290,1.19700,27.65000,1323.05000,5.64000,24.17000,0.00732,119.20000,0.09790,1.82700,0.02006,1.86770,0.05740,0.23830,0.01173,0.29220,0.02905,0.19330,0.25300,1.17400,42.37000,0.50261,7.56100,0.29590,0.94900,53.47000,2.41680,0.69790,0.77150,2.70000,0.02087,768.00000,19.24000,2.14100,0.00684,8.78000,14.72000,0.00723,0.19350,1.72700,0.22540,1.11400,0.24200,0.19290,2.84500,57.20000,7.02000,0.10390,1.21600,1.55900,0.00346,0.00001,32.97000,2.36200,0.22080,0.44870,0.00344,0.54150,0.32300,0.17020,1.07100,0.21790,0.06108,1.00000,6.55000,0.36014,0.10520,0.02305,0.19030,3.80900,0.32560,0.04080,0.11920,149.70000,0.47490,1.41900,0.00326,4.20000,56.60000,14.02000,0.03122,0.26840
2022-10-01 11:00:00,75.20000,0.43260,0.17070,0.03896,0.36160,0.00503,0.09008,1.68300,0.09610,4.66000,12.92400,17.20000,1.25900,0.30380,448.23000,117.80000,0.08670,283.10000,0.43400,19312.04000,20.45000,0.01053,0.00260,1.00000,4.64000,62.75000,0.10970,0.12840,0.20691,42.35000,0.03193,26.20000,0.00096,0.00958,0.04200,0.06156,6.31000,48.13000,0.13120,0.45390,1.19900,27.71000,1325.42000,5.64000,24.20000,0.00734,120.30000,0.09840,1.84500,0.02013,1.82070,0.05740,0.23910,0.01175,0.29200,0.02915,0.19370,0.25310,1.18100,42.51000,0.50612,7.59000,0.29640,0.95100,53.52000,2.40090,0.69850,0.77480,2.69000,0.02094,773.00000,19.23000,2.16800,0.00679,8.84000,14.76000,0.00730,0.19330,1.73100,0.22610,1.12100,0.24160,0.19370,2.85600,57.30000,7.02000,0.10400,1.21300,1.56100,0.00347,0.00001,33.02000,2.36400,0.21940,0.44950,0.00341,0.53090,0.32300,0.16850,1.07400,0.21800,0.06109,1.00000,6.53000,0.37674,0.10530,0.02303,0.19200,3.82100,0.32580,0.04100,0.11920,149.80000,0.47370,1.42300,0.00326,4.28000,56.90000,14.04000,0.03123,0.26920
2022-10-01 10:00:00,75.30000,0.43310,0.17070,0.03903,0.35960,0.00507,0.09029,1.69000,0.09640,4.68000,12.90700,17.24000,1.26000,0.30480,459.24000,118.20000,0.08680,283.10000,0.43500,19327.95000,20.46000,0.01052,0.00261,1.00010,4.64000,62.72000,0.10970,0.12860,0.20840,42.41000,0.03200,26.10000,0.00096,0.00959,0.04210,0.06182,6.31000,48.21000,0.13130,0.45520,1.19900,27.73000,1329.63000,5.65000,24.23000,0.00734,120.50000,0.09860,1.84500,0.02020,1.79200,0.05740,0.23940,0.01176,0.29090,0.02917,0.19410,0.25420,1.17700,42.62000,0.51090,7.62000,0.29720,0.95000,53.53000,2.44880,0.69970,0.77580,2.70600,0.02100,776.00000,19.19000,2.14400,0.00671,8.84000,14.73000,0.00722,0.19300,1.73800,0.22690,1.12200,0.24420,0.19470,2.86100,57.50000,7.04000,0.10440,1.21100,1.56800,0.00348,0.00001,33.12000,2.37500,0.21870,0.45000,0.00334,0.53990,0.32400,0.16850,1.07400,0.21800,0.06112,1.00000,6.54000,0.34032,0.10530,0.02312,0.19190,3.82300,0.32460,0.04100,0.11960,150.00000,0.47470,1.42700,0.00327,4.29900,57.00000,14.09000,0.03123,0.26930
2022-10-01 09:00:00,75.20000,0.43330,0.16850,0.03906,0.36030,0.00505,0.09074,1.68800,0.09640,4.67000,12.91000,17.25000,1.25500,0.30520,450.49000,118.30000,0.08660,282.50000,0.43400,19329.50000,20.44000,0.01043,0.00261,1.00000,4.65500,62.80000,0.10970,0.12850,0.20779,42.34000,0.03194,25.80000,0.00096,0.00955,0.04220,0.06179,6.30000,48.27000,0.13150,0.45510,1.20000,27.71000,1330.78000,5.65000,24.23000,0.00734,120.50000,0.09860,1.82600,0.02010,1.86640,0.05740,0.23900,0.01176,0.29020,0.02904,0.19370,0.25430,1.18000,42.80000,0.51300,7.61800,0.29710,0.95200,53.58000,2.45710,0.70000,0.77530,2.76600,0.02105,772.00000,19.19000,2.16700,0.00672,8.83000,14.72000,0.00725,0.19440,1.73900,0.22730,1.11400,0.24570,0.19470,2.85600,56.80000,7.05000,0.10440,1.20800,1.56600,0.00348,0.00001,33.10000,2.38600,0.21890,0.45030,0.00330,0.53810,0.32300,0.16840,1.07300,0.21840,0.06111,1.00000,6.57000,0.39297,0.10530,0.02315,0.19270,3.82300,0.32180,0.04110,0.11910,149.80000,0.47400,1.42600,0.00327,4.23600,57.00000,14.11000,0.03126,0.26920
