INFO 2023-02-22 14:17:26,953: env - Constructing DQN 
DEBUG 2023-02-22 14:17:26,954: env - Constructing Block 
DEBUG 2023-02-22 14:17:26,957: env - Constructing Block 
DEBUG 2023-02-22 14:17:26,958: env - Constructing Block 
INFO 2023-02-22 14:18:41,500: env - Constructing DQN 
DEBUG 2023-02-22 14:18:41,502: env - Constructing Block 
DEBUG 2023-02-22 14:18:41,503: env - Constructing Block 
DEBUG 2023-02-22 14:18:41,503: env - Constructing Block 
INFO 2023-03-01 17:14:06,146: env - Constructing DQN 
DEBUG 2023-03-01 17:14:06,150: env - Constructing Block 
DEBUG 2023-03-01 17:14:06,176: env - Constructing Block 
DEBUG 2023-03-01 17:14:06,177: env - Constructing Block 
DEBUG 2023-03-01 17:14:06,178: env - Constructing Block 
DEBUG 2023-03-01 17:14:06,179: env - Constructing Block 
DEBUG 2023-03-01 17:14:06,180: env - Constructing Block 
INFO 2023-03-01 17:16:44,280: env - Constructing DQN 
DEBUG 2023-03-01 17:16:44,284: env - Constructing Block 
DEBUG 2023-03-01 17:16:44,288: env - Constructing Block 
DEBUG 2023-03-01 17:16:44,289: env - Constructing Block 
DEBUG 2023-03-01 17:16:44,290: env - Constructing Block 
DEBUG 2023-03-01 17:16:44,291: env - Constructing Block 
DEBUG 2023-03-01 17:16:44,293: env - Constructing Block 
INFO 2023-03-01 17:18:30,207: env - Constructing DQN 
DEBUG 2023-03-01 17:18:30,207: env - Constructing Block 
DEBUG 2023-03-01 17:18:30,210: env - Constructing Block 
DEBUG 2023-03-01 17:18:30,211: env - Constructing Block 
DEBUG 2023-03-01 17:18:30,212: env - Constructing Block 
DEBUG 2023-03-01 17:18:30,213: env - Constructing Block 
DEBUG 2023-03-01 17:18:30,215: env - Constructing Block 
INFO 2023-03-01 17:19:29,859: env - Constructing DQN 
DEBUG 2023-03-01 17:19:29,861: env - Constructing Block 
DEBUG 2023-03-01 17:19:29,866: env - Constructing Block 
DEBUG 2023-03-01 17:19:29,867: env - Constructing Block 
DEBUG 2023-03-01 17:19:29,868: env - Constructing Block 
DEBUG 2023-03-01 17:19:29,869: env - Constructing Block 
DEBUG 2023-03-01 17:19:29,870: env - Constructing Block 
INFO 2023-03-01 17:21:22,310: env - Constructing DQN 
DEBUG 2023-03-01 17:21:22,312: env - Constructing Block 
DEBUG 2023-03-01 17:21:22,335: env - Constructing Block 
DEBUG 2023-03-01 17:21:22,336: env - Constructing Block 
DEBUG 2023-03-01 17:21:22,337: env - Constructing Block 
DEBUG 2023-03-01 17:21:22,338: env - Constructing Block 
DEBUG 2023-03-01 17:21:22,339: env - Constructing Block 
INFO 2023-03-01 17:22:19,094: env - Constructing DQN 
DEBUG 2023-03-01 17:22:19,096: env - Constructing Block 
DEBUG 2023-03-01 17:22:19,099: env - Constructing Block 
DEBUG 2023-03-01 17:22:19,101: env - Constructing Block 
DEBUG 2023-03-01 17:22:19,102: env - Constructing Block 
DEBUG 2023-03-01 17:22:19,103: env - Constructing Block 
DEBUG 2023-03-01 17:22:19,104: env - Constructing Block 
INFO 2023-03-01 17:24:53,678: env - Constructing DQN 
DEBUG 2023-03-01 17:24:53,680: env - Constructing Block 
DEBUG 2023-03-01 17:24:53,705: env - Constructing Block 
DEBUG 2023-03-01 17:24:53,706: env - Constructing Block 
INFO 2023-03-01 17:25:53,535: env - Constructing DQN 
DEBUG 2023-03-01 17:25:53,537: env - Constructing Block 
DEBUG 2023-03-01 17:25:53,541: env - Constructing Block 
DEBUG 2023-03-01 17:25:53,542: env - Constructing Block 
INFO 2023-03-01 17:28:32,659: env - Constructing DQN 
DEBUG 2023-03-01 17:28:32,661: env - Constructing Block 
DEBUG 2023-03-01 17:28:32,666: env - Constructing Block 
DEBUG 2023-03-01 17:28:32,667: env - Constructing Block 
INFO 2023-03-01 17:29:46,719: env - Constructing DQN 
DEBUG 2023-03-01 17:29:46,723: env - Constructing Block 
DEBUG 2023-03-01 17:29:46,735: env - Constructing Block 
DEBUG 2023-03-01 17:29:46,736: env - Constructing Block 
INFO 2023-03-01 17:30:28,278: env - Constructing DQN 
DEBUG 2023-03-01 17:30:28,280: env - Constructing Block 
DEBUG 2023-03-01 17:30:28,285: env - Constructing Block 
DEBUG 2023-03-01 17:30:28,286: env - Constructing Block 
INFO 2023-03-01 17:32:59,039: env - Constructing DQN 
DEBUG 2023-03-01 17:32:59,042: env - Constructing Block 
DEBUG 2023-03-01 17:32:59,046: env - Constructing Block 
DEBUG 2023-03-01 17:32:59,047: env - Constructing Block 
INFO 2023-03-01 17:35:42,548: env - Constructing DQN 
DEBUG 2023-03-01 17:35:42,549: env - Constructing Block 
DEBUG 2023-03-01 17:35:42,554: env - Constructing Block 
DEBUG 2023-03-01 17:35:42,556: env - Constructing Block 
INFO 2023-03-01 17:37:30,927: env - Constructing DQN 
DEBUG 2023-03-01 17:37:30,929: env - Constructing Block 
DEBUG 2023-03-01 17:37:30,933: env - Constructing Block 
DEBUG 2023-03-01 17:37:30,935: env - Constructing Block 
